name,taste,environment,service,price,comment-volume,link
肯德基(油松店),7.4,7.4,7.4,58,46,http://www.dianping.com/shop/19805543
肯德基(怀德公元店),7.5,7.4,7.3,0,8,http://www.dianping.com/shop/93488389
肯德基(荔园店),7.3,7.4,7.3,22,23,http://www.dianping.com/shop/2930437
肯德基(松福店),7.3,7.4,7.3,28,8,http://www.dianping.com/shop/9230162
肯德基(新都店),7.3,7.4,7.3,28,12,http://www.dianping.com/shop/19805536
肯德基(塘头店),7.3,7.4,7.3,28,18,http://www.dianping.com/shop/19805570
肯德基(联诚店),7.2,7.3,7.2,28,18,http://www.dianping.com/shop/9205132
肯德基(益华DT店),7.3,7.3,7.2,28,11,http://www.dianping.com/shop/19805567
肯德基(宝石店),7.3,7.4,7.4,28,23,http://www.dianping.com/shop/10619694
肯德基,7.2,7.5,7.7,0,10,http://www.dianping.com/shop/91036959
肯德基(公明友谊店),7.3,7.4,7.4,28,16,http://www.dianping.com/shop/6259643
肯德基(石岩店),7.3,7.4,7.3,25,35,http://www.dianping.com/shop/2930551
肯德基(凤凰DT店),7.3,7.3,7.2,28,14,http://www.dianping.com/shop/9201417
肯德基(宝华店),7.4,7.4,7.3,27,28,http://www.dianping.com/shop/2930206
肯德基(世界之窗店),7.5,7.5,7.5,0,1,http://www.dianping.com/shop/99812063
肯德基(宝利豪庭店),7.4,7.5,7.4,27,14,http://www.dianping.com/shop/2930209
肯德基(黄田店),7.3,7.3,7.3,28,5,http://www.dianping.com/shop/69675872
肯德基(松岗店),7.3,7.3,7.3,25,29,http://www.dianping.com/shop/2930557
肯德基(政丰店),7.3,7.3,7.3,28,24,http://www.dianping.com/shop/19805524
KFC,7.2,7.2,7.2,0,8,http://www.dianping.com/shop/93357525
肯德基(凤凰山店),7.3,7.3,7.2,28,23,http://www.dianping.com/shop/6338284
肯德基(百门前店),7.3,7.3,7.3,23,19,http://www.dianping.com/shop/6259724
肯德基(宏发嘉域店),7.6,7.6,7.6,0,1,http://www.dianping.com/shop/93488369
肯德基(瑞景园店),7.3,7.4,7.3,28,15,http://www.dianping.com/shop/10618658
肯德基甜品站(福民天虹店),7.5,7.4,7.5,0,15,http://www.dianping.com/shop/93198479
肯德基甜品站(花园路店),7.3,7.3,7.6,28,3,http://www.dianping.com/shop/68512338
肯德基外送现磨咖啡馆(民旺店),7.2,7.2,7.2,0,1,http://www.dianping.com/shop/96559761
肯德基(龙华山姆店),6.9,7.1,7.1,0,5,http://www.dianping.com/shop/93488461
肯德基甜品站(鼎新店),7.1,7.1,7.1,0,1,http://www.dianping.com/shop/93198542
肯德基(松柏店),6.9,6.9,7.0,36,15,http://www.dianping.com/shop/24082710
肯德基(星城购物店),6.9,7.2,7.2,0,2,http://www.dianping.com/shop/90926653
肯德基甜品站(创业天虹店),6.9,6.7,6.7,0,5,http://www.dianping.com/shop/93198519
肯德基(章阁店),6.8,6.8,6.8,28,2,http://www.dianping.com/shop/69676357
肯德基(大峡谷精选店),6.5,6.7,6.8,0,3,http://www.dianping.com/shop/99820803
肯德基(公明天虹店),6.9,7.3,6.6,0,6,http://www.dianping.com/shop/93488384
肯德基甜品站(国都店),7.3,7.3,7.3,0,1,http://www.dianping.com/shop/93198389
肯德基(沙头角店),7.3,7.3,7.2,0,25,http://www.dianping.com/shop/2930539
